node,java,backend,benchmark,score_ns_op,score_error_ns_op,confidence_low_ns_op,confidence_high_ns_op,jdk_version,vm_name,vm_version,warmup_iterations,measurement_iterations,measurement_time,threads,forks,raw_samples,overhead_ns_op,overhead_error_ns_op,score_multiplier,overhead_multiplier
1.20.6-paper,21,jvmti,baseline,0.3738920706900161,0.0041061852801565326,0.36978588540985957,0.37799825597017267,21.0.10,OpenJDK 64-Bit Server VM,21.0.10+7-LTS,3,7,500 ms,1,0,"[[0.37321882386581284,0.3768808867322937,0.3759823828215808,0.3735569960161623,0.373133245889451,0.3723236611890311,0.37214849831578106]]",0.0,0.005807022912814135,1.0,0.0
1.20.6-paper,21,jvmti,lead,73.95815379435898,2.8677309943753024,71.09042279998367,76.82588478873429,21.0.10,OpenJDK 64-Bit Server VM,21.0.10+7-LTS,3,7,500 ms,1,0,"[[75.57025962978855,72.63321597417809,75.02418350592704,72.96815674070501,74.22590016095714,72.42079331704186,74.86456723191516]]",73.58426172366896,2.8677339341121444,197.8061574236371,196.80615742363707
1.20.6-paper,21,jvmti,leadTrail,174.34978958805138,4.1402304076679535,170.20955918038342,178.49001999571934,21.0.10,OpenJDK 64-Bit Server VM,21.0.10+7-LTS,3,7,500 ms,1,0,"[[171.16179807982977,173.76617447100088,172.7969353946666,175.55133057190457,175.75653593223325,175.35494016327704,176.06081250344758]]",173.97589751736137,4.1402324438775056,466.3104763529476,465.31047635294766
1.20.6-paper,21,jvmti,predicateTrue,82.77081460787527,1.3391816026479957,81.43163300522727,84.10999621052326,21.0.10,OpenJDK 64-Bit Server VM,21.0.10+7-LTS,3,7,500 ms,1,0,"[[83.39616480324798,82.80943108388009,82.97059647380316,82.49163888953791,83.56495758913697,81.95932468179303,82.20358873372774]]",82.39692253718525,1.3391878978053862,221.3762235051471,220.3762235051471
1.20.6-paper,21,jvmti,siteInvoke,143.20903349798306,3.5755900479655023,139.63344345001755,146.78462354594856,21.0.10,OpenJDK 64-Bit Server VM,21.0.10+7-LTS,3,7,500 ms,1,0,"[[143.97185452867598,142.0874520418517,145.066079690056,143.22035619101604,144.51747011097123,143.24071484701824,140.35930707629214]]",142.83514142729305,3.5755924057234902,383.02238727259294,382.022387272593
1.20.6-paper,21,jvmti,spliceProceed,107.12410421298605,1.836779017649117,105.28732519533693,108.96088323063518,21.0.10,OpenJDK 64-Bit Server VM,21.0.10+7-LTS,3,7,500 ms,1,0,"[[107.48037348166746,106.26241754411481,107.67684644824767,108.32630038190008,106.2506214179034,107.45412925294663,106.41804096412253]]",106.75021214229604,1.836783607405513,286.51076770707925,285.5107677070792
1.21.11-paper,21,instrumentation,baseline,0.3763908924747569,0.008856803158261123,0.3675340893164958,0.385247695633018,21.0.10,OpenJDK 64-Bit Server VM,21.0.10+7-LTS,3,7,500 ms,1,0,"[[0.37939800070431695,0.37400320763684597,0.37514085610070047,0.3725123755808178,0.3760908204497323,0.3837846167524917,0.3738063700983929]]",0.0,0.012525411145681741,1.0,0.0
1.21.11-paper,21,instrumentation,lead,69.70910056083537,1.7234499436757336,67.98565061715964,71.4325505045111,21.0.10,OpenJDK 64-Bit Server VM,21.0.10+7-LTS,3,7,500 ms,1,0,"[[70.63364787947971,70.09186612006215,69.01715987250624,70.42503891722632,68.50127168591916,69.4826309756675,69.81208847498647]]",69.33270966836061,1.7234727010655182,185.20400454564796,184.20400454564796
1.21.11-paper,21,instrumentation,leadTrail,196.23097203940492,71.56444863942238,124.66652339998254,267.7954206788273,21.0.10,OpenJDK 64-Bit Server VM,21.0.10+7-LTS,3,7,500 ms,1,0,"[[172.58322227846708,169.9632596559552,170.84351628841668,170.9271974908123,227.5192798905271,222.45108850004735,239.32924017160883]]",195.85458114693017,71.56444918748055,521.3488847968482,520.3488847968483
1.21.11-paper,21,instrumentation,predicateTrue,100.09159333311285,12.348389898953194,87.74320343415965,112.43998323206606,21.0.10,OpenJDK 64-Bit Server VM,21.0.10+7-LTS,3,7,500 ms,1,0,"[[106.28276539973788,95.79754567774914,109.25086737173062,96.69598630827875,95.26594371091724,98.01590480385558,99.33214005952068]]",99.7152024406381,12.34839307519531,265.92458886296146,264.92458886296146
